Coordinates,Y,X,Type
"40.736399041832, -74.000586883165",40.73639904,-74.00058688,B
"40.742754117, -73.99818245042",40.74275412,-73.99818245,B
"40.739554535011, -73.999894537963",40.73955454,-73.99989454,B
"40.746067609054, -74.001606793144",40.74606761,-74.00160679,B
"40.738014947035, -73.994245135223",40.73801495,-73.99424514,B
"40.74373840389, -74.006112233738",40.7437384,-74.00611223,B
"40.747383609762, -74.007391815077",40.74738361,-74.00739182,B
"40.740396664823, -73.999873331748",40.74039666,-73.99987333,B
"40.733336210592, -73.998865826986",40.73333621,-73.99886583,B
"40.735839717433, -73.997410058043",40.73583972,-73.99741006,B
"40.744920419876, -74.006991160105",40.74492042,-74.00699116,B
"40.745611214426, -74.001381571405",40.74561121,-74.00138157,B
"40.743225012321, -73.993639123623",40.74322501,-73.99363912,B
"40.741957249465, -73.996425519696",40.74195725,-73.99642552,B
"40.747391237294, -74.003389204854",40.74739124,-74.0033892,B
"40.738223865972, -73.999957737513",40.73822387,-73.99995774,B
"40.744756344121, -73.999207976274",40.74475634,-73.99920798,B
"40.73526777827, -73.998058901168",40.73526778,-73.9980589,B
"40.747535573667, -74.00388122257",40.74753557,-74.00388122,B
"40.737675857142, -73.99344550166",40.73767586,-73.9934455,B
"40.744398604494, -74.000260324217",40.7443986,-74.00026032,B
"40.747800651355, -74.004516989926",40.74780065,-74.00451699,B
"40.725929206575, -74.002754946241",40.72592921,-74.00275495,B
"40.724913278001, -74.000515301712",40.72491328,-74.0005153,B
"40.72440349065, -73.994285116901",40.72440349,-73.99428512,B
"40.726654953662, -73.991826201785",40.72665495,-73.9918262,B
"40.725765340368, -73.994280925949",40.72576534,-73.99428093,B
"40.725765340368, -73.994280925949",40.72576534,-73.99428093,B
"40.724622258323, -73.993407196362",40.72462226,-73.9934072,B
"40.722470791416, -73.99922214169",40.72247079,-73.99922214,B
"40.725682485255, -73.994002479126",40.72568249,-73.99400248,B
"40.723439026961, -73.998467183671",40.72343903,-73.99846718,B
"40.726711866784, -73.996274310162",40.72671187,-73.99627431,B
"40.726691875945, -73.99570836406",40.72669188,-73.99570836,B
"40.724338195624, -74.001445692965",40.7243382,-74.00144569,B
"40.728007499468, -73.995703083461",40.7280075,-73.99570308,B
"40.718372711315, -74.007372201424",40.71837271,-74.0073722,B
"40.715874065978, -74.003608643079",40.71587407,-74.00360864,B
"40.721834185869, -74.004186407665",40.72183419,-74.00418641,B
"40.722127384842, -74.010098666889",40.72212738,-74.01009867,B
"40.724319797347, -74.010211152029",40.7243198,-74.01021115,B
"40.724790064024, -74.007760032084",40.72479006,-74.00776003,B
"40.72048109524, -74.004827120344",40.7204811,-74.00482712,B
"40.717122843823, -74.004662835041",40.71712284,-74.00466284,B
"40.725208823907, -74.007681493651",40.72520882,-74.00768149,B
"40.720846797675, -74.002899366432",40.7208468,-74.00289937,B
"40.720025538802, -74.009568679151",40.72002554,-74.00956868,B
"40.7255219299, -74.009141788822",40.72552193,-74.00914179,B
"40.717161693944, -74.00461623166",40.71716169,-74.00461623,B
"40.717122843823, -74.004662835041",40.71712284,-74.00466284,B
"40.717122843823, -74.004662835041",40.71712284,-74.00466284,B
"40.725208823907, -74.007681493651",40.72520882,-74.00768149,B
"40.719036599956, -74.003517196515",40.7190366,-74.0035172,B
"40.725208823907, -74.007681493651",40.72520882,-74.00768149,B
"40.721940803678, -74.009777975273",40.7219408,-74.00977798,B
"40.716509162782, -74.009970675227",40.71650916,-74.00997068,B
"40.724816592748, -74.008569221016",40.72481659,-74.00856922,B
"40.715578142887, -74.007911241617",40.71557814,-74.00791124,B
"40.723041221836, -74.008070665415",40.72304122,-74.00807067,B
"40.73816255235, -74.005909643139",40.73816255,-74.00590964,B
"40.735247368335, -74.001013019123",40.73524737,-74.00101302,B
"40.735271047212, -74.000856109895",40.73527105,-74.00085611,B
"40.730780107309, -74.004388998265",40.73078011,-74.004389,B
"40.730780107309, -74.004388998265",40.73078011,-74.004389,B
"40.734060281298, -74.004408863375",40.73406028,-74.00440886,B
"40.733951232738, -74.000290918164",40.73395123,-74.00029092,B
"40.731033722337, -74.001514219437",40.73103372,-74.00151422,B
"40.727260923352, -74.006441474895",40.72726092,-74.00644147,B
"40.73816255235, -74.005909643139",40.73816255,-74.00590964,B
"40.729737650012, -74.003915672192",40.72973765,-74.00391567,B
"40.737067666248, -74.002364014276",40.73706767,-74.00236401,B
"40.738781933085, -74.008848841306",40.73878193,-74.00884884,B
"40.733786109245, -74.001803432592",40.73378611,-74.00180343,B
"40.73452413582, -74.00089810323",40.73452414,-74.0008981,B
"40.732005332006, -74.007772940215",40.73200533,-74.00777294,B
"40.732687409377, -74.001331699081",40.73268741,-74.0013317,B
"40.736233583063, -74.003333465198",40.73623358,-74.00333347,B
"40.735667008318, -74.002224287951",40.73566701,-74.00222429,B
"40.729976366614, -74.003494984472",40.72997637,-74.00349498,B
"40.72985725977, -74.006931816231",40.72985726,-74.00693182,B
"40.733957058161, -74.005072123373",40.73395706,-74.00507212,B
"40.733274268328, -74.005221488888",40.73327427,-74.00522149,B
"40.733786109245, -74.001803432592",40.73378611,-74.00180343,B
"40.731605808591, -74.00615967531",40.73160581,-74.00615968,B
"40.733470907776, -74.003558184022",40.73347091,-74.00355818,B
"40.738726738253, -74.008984795776",40.73872674,-74.0089848,B
"40.727009675804, -74.004431578333",40.72700968,-74.00443158,B
"40.744774742399, -73.980932661323",40.74477474,-73.98093266,B
"40.745178498675, -73.976869869035",40.7451785,-73.97686987,B
"40.744940201167, -73.986051908688",40.7449402,-73.98605191,B
"40.745547470052, -73.972176757628",40.74554747,-73.97217676,B
"40.743845943708, -73.975720793929",40.74384594,-73.97572079,B
"40.746247317058, -73.979802780775",40.74624732,-73.97980278,B
"40.748372883884, -73.972823924372",40.74837288,-73.97282392,B
"40.74291949195, -73.979209761126",40.74291949,-73.97920976,B
"40.748838833882, -73.973812821309",40.74883883,-73.97381282,B
"40.748657491407, -73.973515096108",40.74865749,-73.9735151,B
"40.744344750766, -73.984631008461",40.74434475,-73.98463101,B
"40.746261692022, -73.983994989648",40.74626169,-73.98399499,B
"40.746807018643, -73.984605946571",40.74680702,-73.98460595,B
"40.746585275394, -73.972414300764",40.74658528,-73.9724143,B
"40.746922269811, -73.985655863763",40.74692227,-73.98565586,B
"40.754941781403, -73.97248906734",40.75494178,-73.97248907,B
"40.753531232827, -73.967229171641",40.75353123,-73.96722917,B
"40.75166458299, -73.972590991283",40.75166458,-73.97259099,B
"40.752876899556, -73.969552970477",40.7528769,-73.96955297,B
"40.753616434873, -73.971446023309",40.75361643,-73.97144602,B
"40.754999993721, -73.994288050567",40.75499999,-73.99428805,B
"40.756757511178, -73.998319326899",40.75675751,-73.99831933,B
"40.756757511178, -73.998319326899",40.75675751,-73.99831933,B
"40.755953225659, -73.996420322916",40.75595323,-73.99642032,B
"40.75815976167, -73.999810216017",40.75815976,-73.99981022,B
"40.756757511178, -73.998319326899",40.75675751,-73.99831933,B
"40.755566694194, -73.998483276925",40.75556669,-73.99848328,B
"40.756865512001, -73.994651992803",40.75686551,-73.99465199,B
"40.769230830841, -73.984781966538",40.76923083,-73.98478197,B
"40.76625911089, -73.986956902774",40.76625911,-73.9869569,B
"40.768629471198, -73.989521681326",40.76862947,-73.98952168,B
"40.765768476187, -73.982631086364",40.76576848,-73.98263109,B
"40.769230830841, -73.984781966538",40.76923083,-73.98478197,B
"40.763376951573, -73.984882633195",40.76337695,-73.98488263,B
"40.770615227879, -73.99202317651",40.77061523,-73.99202318,B
"40.765128098785, -73.987104843365",40.7651281,-73.98710484,B
"40.758151798862, -73.979086547149",40.7581518,-73.97908655,B
"40.769643807211, -73.965059096909",40.76964381,-73.9650591,B
"40.768100866474, -73.960695394297",40.76810087,-73.96069539,B
"40.767663037762, -73.96159535924",40.76766304,-73.96159536,B
"40.768221314423, -73.955733307617",40.76822131,-73.95573331,B
"40.767210666448, -73.960537730698",40.76721067,-73.96053773,B
"40.772658610145, -73.962848286127",40.77265861,-73.96284829,B
"40.771494363794, -73.956811555641",40.77149436,-73.95681156,B
"40.770070990906, -73.955259981544",40.77007099,-73.95525998,B
"40.768100866474, -73.960695394297",40.76810087,-73.96069539,B
"40.757782492208, -73.963701899147",40.75778249,-73.9637019,B
"40.760783926007, -73.966778895802",40.76078393,-73.9667789,B
"40.754915001222, -73.966756432302",40.754915,-73.96675643,B
"40.758234177188, -73.968731739043",40.75823418,-73.96873174,B
"40.773423039715, -73.981193338512",40.77342304,-73.98119334,B
"40.770392059707, -73.9855833603",40.77039206,-73.98558336,B
"40.769648668715, -73.980831575571",40.76964867,-73.98083158,B
"40.776256709721, -73.978242824775",40.77625671,-73.97824282,B
"40.774591183651, -73.983965150073",40.77459118,-73.98396515,B
"40.770392059707, -73.9855833603",40.77039206,-73.98558336,B
"40.77711036465, -73.978006371287",40.77711036,-73.97800637,B
