Coordinates,Y,X,Type
"40.751888421714, -73.994761711915",40.75188842,-73.99476171,B
"40.748109775944, -73.993456984867",40.74810978,-73.99345698,B
"40.752328890726, -74.004460747356",40.75232889,-74.00446075,B
"40.753662074336, -74.002766345629",40.75366207,-74.00276635,B
"40.745805465032, -73.995648936366",40.74580547,-73.99564894,B
"40.752557255678, -74.002241722309",40.75255726,-74.00224172,B
"40.748302978812, -73.995842223054",40.74830298,-73.99584222,B
"40.75074693223, -74.003508311698",40.75074693,-74.00350831,B
"40.748957479721, -73.995471826752",40.74895748,-73.99547183,B
"40.752936033883, -74.004078700209",40.75293603,-74.0040787,B
"40.752179399483, -74.003244197929",40.7521794,-74.0032442,B
"40.747924200607, -74.000674641691",40.7479242,-74.00067464,B
"40.748350587029, -73.98892691826",40.74835059,-73.98892692,B
"40.746167688978, -73.996506824156",40.74616769,-73.99650682,B
"40.753113646411, -74.003878037447",40.75311365,-74.00387804,B
"40.7538019683, -74.003251657823",40.75380197,-74.00325166,B
"40.753584457912, -74.004649423996",40.75358446,-74.00464942,B
"40.755100618468, -74.000520330854",40.75510062,-74.00052033,B
"40.752557255678, -74.002241722309",40.75255726,-74.00224172,B
"40.752050904907, -73.998954256065",40.7520509,-73.99895426,B
"40.752248843551, -74.001530182549",40.75224884,-74.00153018,B
"40.750760636642, -73.997796463779",40.75076064,-73.99779646,B
"40.752050904907, -73.998954256065",40.7520509,-73.99895426,B
"40.754018891954, -73.997864524833",40.75401889,-73.99786452,B
"40.753662074336, -74.002766345629",40.75366207,-74.00276635,B
"40.747977090417, -73.996554768643",40.74797709,-73.99655477,B
"40.752248843551, -74.001530182549",40.75224884,-74.00153018,B
"40.752050904907, -73.998954256065",40.7520509,-73.99895426,B
"40.749785653665, -73.995648852547",40.74978565,-73.99564885,B
"40.752328890726, -74.004460747356",40.75232889,-74.00446075,B
"40.753520378262, -74.001906530001",40.75352038,-74.00190653,B
"40.752936033883, -74.004078700209",40.75293603,-74.0040787,B
"40.720878481269, -73.987905818032",40.72087848,-73.98790582,B
"40.718836188651, -73.987163013773",40.71883619,-73.98716301,B
"40.710972660709, -73.980604896919",40.71097266,-73.9806049,B
"40.722174533048, -73.98728270735",40.72217453,-73.98728271,B
"40.716999294589, -73.987192680003",40.71699929,-73.98719268,B
"40.730022047986, -73.99233657587",40.73002205,-73.99233658,B
"40.737521504395, -73.991214406672",40.7375215,-73.99121441,B
"40.734268236316, -73.992433805946",40.73426824,-73.99243381,B
"40.734498068101, -73.988428429695",40.73449807,-73.98842843,B
"40.734268236316, -73.992433805946",40.73426824,-73.99243381,B
"40.728134485301, -73.988402781071",40.72813449,-73.98840278,B
"40.732904542579, -73.989956618282",40.73290454,-73.98995662,B
"40.733785857788, -73.995188434606",40.73378586,-73.99518843,B
"40.72517479338, -73.991010810244",40.72517479,-73.99101081,B
"40.735113174066, -73.982036474152",40.73511317,-73.98203647,B
"40.7050918791, -74.007360299121",40.70509188,-74.0073603,B
"40.706503140138, -74.011115559382",40.70650314,-74.01111556,B
"40.705630290651, -74.009445632812",40.70563029,-74.00944563,B
"40.709318705233, -74.013936488896",40.70931871,-74.01393649,B
